stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,13.008569399999942,13.48184880000008,13.48184880000008,13.509365999999773,13.792482899999868,left,-10.0,1,1,5.623436300000321,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
1,2,8.0,19.125802999999905,19.625496699999985,19.625496699999985,19.625496699999985,19.9250020999998,right,8.0,1,1,0.8854596999999558,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
2,2,6.0,20.54204299999992,21.04157320000013,21.04157320000013,21.04157320000013,21.34161559999984,left,-6.0,1,1,0.5530295000003207,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
3,2,4.0,21.6252728999998,22.125381899999866,22.125381899999866,22.125381899999866,22.425155800000084,left,-4.0,1,1,0.839358600000196,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
4,2,2.0,22.991337999999814,23.49217060000001,23.49217060000001,23.49217060000001,23.79149069999994,right,2.0,1,1,1.0818944000002375,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
5,1,1.0,24.591178799999852,25.091604199999892,25.091604199999892,25.091604199999892,25.39130010000008,left,-1.0,0,0,0.7660326000004716,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
6,1,2.0,25.8741129,26.374344100000144,26.374344100000144,26.374344100000144,26.674648599999728,left,-2.0,1,1,0.7499358000000029,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
7,1,2.0,27.14106619999984,27.640753300000142,27.640753300000142,27.640753300000142,27.941031999999723,left,-2.0,1,1,0.829910800000107,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
8,1,2.0,28.490619100000004,28.99049990000003,28.99049990000003,28.99049990000003,29.290371199999754,right,2.0,1,1,0.673407700000098,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
9,1,1.0,29.69032960000004,30.190413700000136,30.190413700000136,30.190413700000136,30.490299099999902,left,-1.0,1,1,0.626691700000265,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
10,1,1.0,30.840521199999785,31.34018449999985,31.34018449999985,31.34018449999985,31.64013739999973,right,1.0,1,1,0.8299931000001379,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
11,0.5,1.0,32.19003160000011,32.69005809999999,32.69005809999999,32.69005809999999,32.99002459999974,right,1.0,0,0,0.6018017000001237,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
12,0.5,1.5,33.323237699999936,33.8234867000001,33.8234867000001,33.8234867000001,34.12334920000012,left,-1.5,1,1,1.165555999999924,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
13,0.5,1.5,35.0067368,35.50623199999973,35.50623199999973,35.50623199999973,35.80652680000003,left,-1.5,1,1,0.8471152000001894,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
14,0.5,1.5,36.37287609999976,36.87278179999976,36.87278179999976,36.87278179999976,37.17292180000004,left,-1.5,0,0,0.5340711999997438,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
15,0.5,2.0,37.43973129999995,37.92311319999999,37.92311319999999,37.939316399999825,38.222954299999856,left,-2.0,0,0,0.7747466000000713,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
16,0.5,2.5,38.72170359999973,39.20614350000005,39.20614350000005,39.22243040000012,39.50571349999973,right,2.5,1,1,0.7758108000002721,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
17,0.5,2.5,40.006158700000015,40.489032399999815,40.489032399999815,40.505758400000104,40.789248099999895,right,2.5,1,1,0.7141538999999284,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
18,0.5,2.5,41.222312800000054,41.70564149999973,41.70564149999973,41.72249499999998,42.00536280000006,left,-2.5,1,1,0.7724358999998913,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
19,0.5,2.0,42.50578519999999,43.005296199999975,43.005296199999975,43.005296199999975,43.30569250000008,right,2.0,1,1,0.8075288,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
20,0.5,2.0,43.838965800000096,44.33883919999971,44.33883919999971,44.33883919999971,44.6382980999997,left,-2.0,1,1,0.5800705999999991,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
21,0.5,2.0,44.93838479999977,45.4377999999997,45.4377999999997,45.4377999999997,45.7379934999999,left,-2.0,1,1,0.7774552000000767,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
22,0.5,1.5,46.237751899999694,46.720795299999736,46.720795299999736,46.73775579999983,47.0212434,left,-1.5,1,1,0.7525230000001102,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
23,0.5,1.5,47.50399960000004,47.98790109999982,47.98790109999982,48.00401289999991,48.287150999999994,left,-1.5,1,1,0.7915580000003501,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
24,0.5,1.5,48.803818299999875,49.286996400000135,49.286996400000135,49.30339389999972,49.587472400000024,left,-1.5,1,1,0.593942099999822,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
25,0.5,1.0,49.90342980000014,50.38741630000004,50.38741630000004,50.40387839999994,50.68666459999986,left,-1.0,1,1,1.1642452000000958,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
26,0.5,1.0,51.56991519999974,52.06974600000012,52.06974600000012,52.06974600000012,52.369726699999774,right,1.0,0,0,1.1355063999999402,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
27,0.5,1.5,53.23623859999998,53.72092500000008,53.72092500000008,53.73727800000006,54.02079240000012,left,-1.5,1,1,1.8493432000000212,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
28,0.5,1.5,55.587268199999926,56.08681810000007,56.08681810000007,56.08681810000007,56.38670550000006,left,-1.5,1,1,0.6690337000004547,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
29,0.5,1.5,56.78729799999974,57.28666669999984,57.28666669999984,57.28666669999984,57.58662419999973,right,1.5,0,0,0.4010991000004651,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
30,0.5,2.0,57.720015500000045,58.2198355999999,58.2198355999999,58.2198355999999,58.51983459999974,right,2.0,1,1,0.8732847000001129,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
